n,k,naive,better,blas
250,0,0.070000,0.050000,0.010000
250,1,0.060000,0.060000,0.000000
250,2,0.060000,0.050000,0.010000
250,3,0.060000,0.060000,0.000000
250,4,0.060000,0.050000,0.010000
250,5,0.060000,0.050000,0.010000
250,6,0.060000,0.060000,0.010000
250,7,0.060000,0.060000,0.010000
250,8,0.060000,0.060000,0.000000
250,9,0.070000,0.050000,0.010000
260,0,0.070000,0.060000,0.020000
260,1,0.070000,0.070000,0.000000
260,2,0.070000,0.060000,0.010000
260,3,0.070000,0.070000,0.010000
260,4,0.070000,0.070000,0.000000
260,5,0.070000,0.060000,0.010000
260,6,0.070000,0.060000,0.010000
260,7,0.060000,0.070000,0.010000
260,8,0.070000,0.060000,0.010000
260,9,0.080000,0.060000,0.010000
270,0,0.080000,0.070000,0.010000
270,1,0.080000,0.070000,0.010000
270,2,0.080000,0.070000,0.010000
270,3,0.080000,0.070000,0.010000
270,4,0.090000,0.070000,0.010000
270,5,0.080000,0.070000,0.010000
270,6,0.090000,0.070000,0.010000
270,7,0.080000,0.070000,0.010000
270,8,0.090000,0.070000,0.010000
270,9,0.080000,0.070000,0.010000
280,0,0.090000,0.080000,0.020000
280,1,0.090000,0.080000,0.010000
280,2,0.090000,0.080000,0.010000
280,3,0.090000,0.080000,0.010000
280,4,0.090000,0.080000,0.020000
280,5,0.090000,0.090000,0.000000
280,6,0.090000,0.080000,0.010000
280,7,0.090000,0.080000,0.010000
280,8,0.090000,0.080000,0.010000
280,9,0.090000,0.080000,0.010000
290,0,0.110000,0.090000,0.010000
290,1,0.110000,0.090000,0.010000
290,2,0.100000,0.090000,0.010000
290,3,0.110000,0.090000,0.010000
290,4,0.100000,0.090000,0.010000
290,5,0.100000,0.100000,0.010000
290,6,0.110000,0.090000,0.010000
290,7,0.110000,0.090000,0.020000
290,8,0.100000,0.090000,0.010000
290,9,0.100000,0.100000,0.010000
300,0,0.110000,0.100000,0.020000
300,1,0.110000,0.100000,0.010000
300,2,0.110000,0.100000,0.020000
300,3,0.110000,0.100000,0.020000
300,4,0.110000,0.100000,0.020000
300,5,0.110000,0.100000,0.010000
300,6,0.110000,0.100000,0.010000
300,7,0.110000,0.090000,0.020000
300,8,0.110000,0.100000,0.010000
300,9,0.110000,0.100000,0.010000
310,0,0.120000,0.110000,0.010000
310,1,0.120000,0.110000,0.020000
310,2,0.120000,0.110000,0.020000
310,3,0.120000,0.110000,0.020000
310,4,0.120000,0.120000,0.010000
310,5,0.130000,0.110000,0.010000
310,6,0.130000,0.110000,0.010000
310,7,0.120000,0.110000,0.010000
310,8,0.120000,0.110000,0.020000
310,9,0.120000,0.120000,0.010000
320,0,0.140000,0.120000,0.020000
320,1,0.140000,0.120000,0.020000
320,2,0.130000,0.130000,0.010000
320,3,0.130000,0.130000,0.020000
320,4,0.130000,0.130000,0.020000
320,5,0.130000,0.130000,0.010000
320,6,0.130000,0.130000,0.010000
320,7,0.130000,0.120000,0.020000
320,8,0.140000,0.120000,0.020000
320,9,0.140000,0.120000,0.020000
330,0,0.150000,0.140000,0.010000
330,1,0.150000,0.130000,0.020000
330,2,0.140000,0.140000,0.020000
330,3,0.150000,0.130000,0.020000
330,4,0.150000,0.130000,0.020000
330,5,0.150000,0.130000,0.010000
330,6,0.150000,0.130000,0.020000
330,7,0.150000,0.130000,0.020000
330,8,0.140000,0.140000,0.010000
330,9,0.140000,0.140000,0.020000
340,0,0.160000,0.140000,0.020000
340,1,0.160000,0.140000,0.020000
340,2,0.160000,0.140000,0.020000
340,3,0.150000,0.150000,0.020000
340,4,0.170000,0.150000,0.020000
340,5,0.160000,0.150000,0.020000
340,6,0.160000,0.150000,0.020000
340,7,0.160000,0.150000,0.020000
340,8,0.160000,0.150000,0.020000
340,9,0.160000,0.150000,0.020000
350,0,0.170000,0.180000,0.020000
350,1,0.170000,0.180000,0.020000
350,2,0.170000,0.170000,0.030000
350,3,0.180000,0.170000,0.020000
350,4,0.180000,0.170000,0.020000
350,5,0.170000,0.180000,0.020000
350,6,0.180000,0.180000,0.020000
350,7,0.170000,0.180000,0.020000
350,8,0.170000,0.170000,0.030000
350,9,0.180000,0.180000,0.020000
360,0,0.190000,0.180000,0.030000
360,1,0.200000,0.190000,0.020000
360,2,0.200000,0.180000,0.020000
360,3,0.190000,0.190000,0.020000
360,4,0.200000,0.180000,0.020000
360,5,0.200000,0.180000,0.030000
360,6,0.200000,0.190000,0.020000
360,7,0.200000,0.180000,0.020000
360,8,0.200000,0.180000,0.020000
360,9,0.200000,0.180000,0.020000
370,0,0.220000,0.210000,0.030000
370,1,0.220000,0.200000,0.030000
370,2,0.220000,0.200000,0.030000
370,3,0.220000,0.200000,0.030000
370,4,0.220000,0.210000,0.020000
370,5,0.220000,0.200000,0.030000
370,6,0.220000,0.210000,0.020000
370,7,0.210000,0.210000,0.030000
370,8,0.220000,0.200000,0.030000
370,9,0.220000,0.210000,0.020000
380,0,0.310000,0.270000,0.030000
380,1,0.310000,0.270000,0.030000
380,2,0.310000,0.270000,0.030000
380,3,0.310000,0.270000,0.030000
380,4,0.310000,0.290000,0.020000
380,5,0.310000,0.270000,0.030000
380,6,0.310000,0.280000,0.030000
380,7,0.310000,0.270000,0.020000
380,8,0.310000,0.280000,0.020000
380,9,0.310000,0.260000,0.030000
390,0,0.260000,0.240000,0.030000
390,1,0.260000,0.240000,0.030000
390,2,0.260000,0.240000,0.030000
390,3,0.260000,0.240000,0.030000
390,4,0.260000,0.240000,0.030000
390,5,0.250000,0.240000,0.040000
390,6,0.260000,0.240000,0.020000
390,7,0.250000,0.240000,0.030000
390,8,0.250000,0.230000,0.040000
390,9,0.260000,0.240000,0.030000
400,0,0.280000,0.260000,0.030000
400,1,0.280000,0.260000,0.030000
400,2,0.280000,0.260000,0.030000
400,3,0.270000,0.260000,0.040000
400,4,0.280000,0.260000,0.040000
400,5,0.280000,0.260000,0.040000
400,6,0.280000,0.260000,0.040000
400,7,0.280000,0.260000,0.040000
400,8,0.280000,0.260000,0.040000
400,9,0.280000,0.260000,0.030000
